"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
33,"admin.","single","university.degree","no","no","yes","cellular","aug","mon",87,3,999,0,"nonexistent",-1.7,94.027,-38.3,0.898,4991.6,"no"
31,"admin.","single","university.degree","no","no","no","telephone","jun","fri",19,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
31,"technician","single","professional.course","","yes","yes","cellular","aug","fri",27,7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
68,"retired","married","basic.4y","no","no","no","cellular","mar","thu",331,4,999,0,"nonexistent",-1.8,92.843,-50,1.538,5099.1,"yes"
22,"student","single","high.school","no","yes","no","cellular","may","tue",272,1,999,0,"nonexistent",-1.8,93.876,-40,0.697,5008.7,"yes"
36,"admin.","divorced","high.school","no","yes","no","telephone","may","wed",416,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
56,"blue-collar","married","basic.4y","no","yes","no","telephone","may","thu",242,3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
35,"unemployed","married","basic.9y","","","","telephone","jun","wed",60,4,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
35,"technician","married","high.school","no","yes","yes","cellular","aug","thu",136,1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
57,"admin.","single","high.school","no","","","telephone","may","mon",102,7,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
37,"blue-collar","married","professional.course","","yes","yes","telephone","may","tue",111,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
32,"admin.","single","university.degree","","yes","no","cellular","aug","wed",459,3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
31,"admin.","single","university.degree","no","yes","no","cellular","aug","fri",292,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
53,"housemaid","married","high.school","no","no","yes","cellular","jun","thu",147,1,999,2,"failure",-2.9,92.963,-40.8,1.26,5076.2,"yes"
46,"admin.","married","professional.course","no","no","no","telephone","jun","mon",424,2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
56,"management","married","basic.9y","no","yes","yes","cellular","nov","fri",62,2,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,"no"
28,"admin.","single","high.school","no","no","no","cellular","may","wed",251,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
46,"","single","","","yes","no","cellular","dec","mon",1472,1,6,1,"success",-3,92.713,-33,0.706,5023.5,"no"
30,"admin.","single","basic.9y","no","no","no","telephone","nov","thu",26,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
45,"management","married","basic.9y","","yes","no","cellular","jul","mon",297,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
31,"blue-collar","married","basic.9y","","yes","no","cellular","nov","thu",157,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
39,"unemployed","single","high.school","no","yes","no","telephone","apr","mon",22,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
76,"","married","","no","no","no","telephone","jul","thu",301,3,999,0,"nonexistent",-1.7,94.215,-40.3,0.899,4991.6,"yes"
39,"admin.","divorced","university.degree","","no","no","telephone","jun","fri",333,15,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
